key,value,Hindi,Gujarati Text,Marathi Text,Telugu Text,
editCustomization,Edit Customization,अनुकूलन संपादित करें,કસ્ટમાઇઝેશન એડિટ કરો,सानुकूलन संपादित करा.,అనుకూలీకరణను సవరించండి,
cartUpdateInfo,Cart has been updated,कार्ट को अपडेट कर दिया गया है,કાર્ટને અપડેટ કરી દેવામાં આવ્યુ છે,कार्ट अपडेट केलेले आहे.,కార్ట్ అప్‌డేట్ చేయబడింది,
logOutMenuTitle,Are you sure you want to log out?,क्या आप सुनिश्चित हैं कि आप log out करना चाहते हैं?,શું તમે ખરેખર લૉગ આઉટ કરવા માંગો છો?,तुम्ही खात्रीने log out करु इच्छिता?,మీరు ఖచ్చితంగా లాగ్ అవుట్ చేయాలనుకుంటున్నారా?,
logOutMenuDeclineButtonText,No,नहीं,ના,नाही,కాదు,
listButtonText,Select a response,एक प्रतिक्रिया चुनें,એક વિકલ્પ પસંદ કરો,एक पर्याय निवडा.,ఒక ఎంపికను ఎంచుకోండి,
logOutMenuConfirmButtonText,Yes,हाँ,હા,होय,అవును,
uploadDocumentDeclineButtonText,Cancel,रद्द करें,રદ કરો,रद्द करा.,రద్దు చేయండి,
uploadDocumentConfirmButtonText,Send,भेजें,મોકલો,पाठवा.,పంపండి,
exitAppTitle,Are you sure you want to close the app?,क्या आप वाकई ऐप को बंद करना चाहते हैं?,શું તમે ખરેખર એપ્લિકેશન બંધ કરવા માંગો છો?,तुम्ही खात्रीने अ‍ॅप बंद करु इच्छिता?,మీరు ఖచ్చితంగా యాప్‌ను క్లోజ్ చేయాలనుకుంటున్నారా?,
deleteConfirmationMessage,Are you sure you want to Delete your review?,क्या आप वाकई अपनी समीक्षा डिलीट करना चाहते हैं?,શું તમે ખરેખર તમારો રિવ્યુ ડિલીટ કરવા માંગો છો?,तुम्ही खात्रीने तुमचे पुनरावलोकन काढून टाकू इच्छिता?,మీరు మీ సమీక్షను ఖచ్చితంగా తొలగించాలనుకుంటున్నారా?,
noConnectionErrorTitle,No Internet Connection,इंटरनेट कनेक्शन नहीं है,ઇન્ટરનેટ કનેક્શન નથી,इंटरनेट कनेक्शन नाही,ఇంటర్నెట్ కనెక్షన్ లేదు,
noConnectionErrorHelperText,Uh-oh! Looks like you are not connected to the internet.\n **Please check your connection** and try again.,Uh-oh! ऐसा लगता है कि आप इंटरनेट से जुड़े नहीं हैं।\n **कृपया अपना कनेक्शन जांचें** और फिर से कोशिश करें।,ઓહ! એવું લાગે છે કે તમે ઇન્ટરનેટ સાથે કનેક્ટ નથી.\n ** કૃપા કરીને તમારું કનેક્શન ચકાસો** અને ફરીથી પ્રયત્ન કરો.,ओह! तुमच्या येथे इंटरनेट जोडलेले दिसत नाही.\n **कृपया इंटरनेटचे कनेक्शन तपासा** आणि पुन्हा प्रयत्न करा.,అయ్యో! మీరు ఇంటర్నెట్‌కి కనెక్ట్ కానట్లున్నారు.\n **దయచేసి మీ కనెక్షన్‌ని చెక్ చేయండి** మరియు మళ్లీ ప్రయత్నించండి.,
noConnectionErrorRetryButtonText,Retry,दोबारा प्रयास करें,ફરીથી પ્રયાસ કરો,पुन्हा प्रयत्न करा.,మళ్లీ ప్రయత్నించండి,
messageNotSentErrorText,Message not sent. Tap to try again.,मैसेज नहीं भेजा गया। दोबारा प्रयास करने के लिए टैप करें।,મેસેજ મોકલ્યો નથી. ફરી પ્રયાસ કરવા માટે ટેપ કરો.,मेसेज पाठवला गेला नाही. पुन्हा प्रयत्न करण्यासाठी बटण दाबा.,మెసేజ్ పంపబడలేదు. మళ్లీ ప్రయత్నించడానికి ట్యాప్ చేయండి.,
somethingWentWrongTitleText,Uh-oh!,Uh-oh!,Uh-oh!,Uh-oh!,Uh-oh!,
somethingWentWrongMessageText,You have been logged out.,आप log out हो चुके हैं।,તમે log out થઈ ગયા છો.,तुम्ही लॉग आऊट झालेले आहात.,మీరు log out చేశారు.,
confirmModalText,Make sure you click on 'Allow' on the message on the next screen,अगली स्क्रीन पर मैसेज पर 'अनुमति दें' पर टैप करना सुनिश्चित करें,ખાતરી કરો કે તમે આગળની સ્ક્રીન પરના 'Allow' સંદેશા પર ક્લિક કરો છો,पुढील स्क्रीनवरील संदेशाना 'Allow' वर क्लिक केल्याची खात्री करा,మీరు తదుపరి స్క్రీన్‌లో మెసేజ్ పై 'Allow'పై క్లిక్ చేయండి,
somethingWentWrongLoginWithTokenMessageText,It seems you have an active session on a different device.,ऐसा लगता है कि आपका सेशन किसी दूसरी डिवाइस पर सक्रिय है।,એવું લાગે છે કે તમારા બીજા કોઈ ડિવાઇસ પર સેશન સક્રિય છે.,तुमचे दुसऱ्या डिव्हाइसवर सक्रिय सेशन सुरु आहे असे दिसते.,మీరు వేరొక డివైస్ లో యాక్టివ్ సెషన్‌ను కలిగి ఉన్నట్లు కనిపిస్తోంది.,
currentDay,Today,आज,આજે,आज,ఈరోజు,
previousDay,Yesterday,कल,ગઇકાલે,काल,నిన్న,
profileScreenHeaderTitle,Select a response,एक प्रतिक्रिया चुनें,એક વિકલ્પ પસંદ કરો,एक पर्याय निवडा.,ఒక ఎంపికను ఎంచుకోండి,
checkConnection,Looks like something went wrong. Please try again..,लगता है कुछ समस्या है। कृपया दोबारा प्रयास करें..,લાગે છે કે કંઈક ખોટું થયું છે. કૃપા કરીને ફરી પ્રયત્ન કરો..,काहीतरी अडचणी आल्याचे दिसते आहे. कृपया पुन्हा प्रयत्न करा..,ఏదో తప్పు జరిగినట్లు కనిపిస్తుంది. దయచేసి మళ్లీ ప్రయత్నించండి..,
checkConnectionButtonText,Retry,दोबारा प्रयास करें,ફરીથી પ્રયાસ કરો,पुन्हा प्रयत्न करा.,మళ్లీ ప్రయత్నించండి,
addNewStudent,Add New Student,नया छात्र जोड़ें,નવો વિદ્યાર્થી ઉમેરો,नवीन विद्यार्थ्यांना जोडा,కొత్త విద్యార్థిని జోడించండి,
retryMessage,Message not sent. Tap to try again.,मैसेज नहीं भेजा गया। दोबारा प्रयास करने के लिए टैप करें।,મેસેજ મોકલ્યો નથી. ફરી પ્રયાસ કરવા માટે ટેપ કરો.,मेसेज पाठवला गेला नाही. पुन्हा प्रयत्न करण्यासाठी बटण दाबा.,మెసేజ్ పంపబడలేదు. మళ్లీ ప్రయత్నించడానికి ట్యాప్ చేయండి.,
loggedIn,You have logged in with,आपने <number> नंबर से log in किया है,તમે <number> સાથે log in કર્યું છે,तुम्ही <number> सह log in केलेले आहे.,మీరు దీనితో లాగిన్ చేసారు,
editMobileConfirmation,Are you sure you want to use a different mobile number?,क्या आप वाकई किसी दूसरे मोबाइल नंबर का उपयोग करना चाहते हैं?,શું તમે ખરેખર કોઈ અલગ મોબાઇલ નંબરનો ઉપયોગ કરવા માંગો છો?,तुम्हाला खात्रीने दुसरा मोबाईल नंबर वापरायचा आहे?,మీరు ఖచ్చితంగా వేరే మొబైల్ నంబర్‌ని ఉపయోగించాలనుకుంటున్నారా?,
editMobileConfirmationHelper,Please wait! OTP can take upto 5 minutes to reach you.,कृपया प्रतीक्षा करें! OTP को आप तक पहुंचने में 5 मिनट तक का समय लग सकता है।,કૃપા કરી રાહ જુવો! OTP તમારા સુધી પહોંચવામાં 5 મિનિટ સુધીનો સમય લાગી શકે છે.,कृपया  प्रतीक्षा करा! OTP तुमच्यापर्यंत पोहोचण्यासाठी 5 मिनिटांचा वेळ लागू शकतो.,దయచేసి వేచి ఉండండి! OTP మిమ్మల్ని చేరుకోవడానికి 5 నిమిషాల వరకు పట్టవచ్చు.,
editMobileConfirmationButtonText,Wait for OTP,OTP का इंतजार करें,OTP માટે રાહ જુઓ,OTP मिळण्याची प्रतीक्षा करा.,OTP కోసం వేచి ఉండండి,
editMobileConfirmationDeclineButtonText,"Yes, I'm sure","हाँ, मुझे नंबर बदलना है","હા, મારે નંબર બદલવો છે","हो, मला नंबर बदलायचा आहे.","అవును, నేను నంబర్‌ని మార్చాలనుకుంటున్నాను.",
errorDialogAcceptButtonText,OK,OK,Ok,Ok,Ok,
errorDialogDeclineButtonText,NO,नहीं,ના,नाही,కాదు,
rangeSliderText,A,अ,અ,अ,అ,
notificationPermissionModal,Notification Permission,सूचनाओं की अनुमति दें,નોટિફિકેશન પરવાનગી,सूचना मिळण्यासाठी परवानगी द्या,నోటిఫికేషన్ అనుమతి,
selectBotTitle,Select Bot,Bot को चुनें,Bot પસંદ કરો,Bot निवडा.,Bot ను ఎంచుకోండి,
selectBotButton,Confirm,कन्फर्म करें,પુષ્ટિ કરો,कन्फर्म करा.,నిర్ధారించండి,
botListError,Retry,दोबारा प्रयास करें,ફરીથી પ્રયાસ કરો,पुन्हा प्रयत्न करा.,మళ్లీ ప్రయత్నించండి,
archivetag,Archived,आर्काइव्ड,આર્કાઇવ કરેલ,संग्रहित केलेले.,ఆర్కైవ్ చేయబడింది,
searchResult,No results found,कोई परिणाम नहीं मिला,કોઈ પરિણામો મળ્યાં નથી,कोणतेही परिणाम आढळलेले नाहीत.,ఎటువంటి ఫలితాలు లభించలేదు,
notificationPermissionModalAllowText,"Ok, Got it",ठीक है,"ઠીક છે, સમજાય ગયું",ठीक आहे,సరే అర్థమయ్యింది,
notificationPermissionModalDeclineText,Maybe Later,शायद बाद में,કદાચ પછી,पुन्हा कधीतरी,తర్వాత చూద్దాం,
autoLogoutAcceptButtonText,Continue Here,यहाँ जारी रखें,અહીં ચાલુ રાખો,इथे सुरु ठेवा.,ఇక్కడ కొనసాగించండి,
autoLogoutDeclineButtonText,Logout,Logout करें,લૉગ આઉટ,Logout करा,లాగ్అవుట్,
shareImage,Share Image,चित्र साझा करें,ચિત્ર શેર કરો,इमेज शेअर करा,చిత్రాన్ని షేర్ చేయండి,
downloadImage,Download Image,चित्र डाउनलोड करें,ચિત્ર ડાઉનલોડ કરો,इमेज डाउनलोड करा,చిత్రాన్ని డౌన్‌లోడ్ చేయండి,
shareVideo,Share Video,वीडियो साझा करें,વીડિયો શેર કરો,व्हिडीओ शेअर करा,వీడియోను షేర్ చేయండి,
downloadVideo,Download Video,वीडियो डाउनलोड करें,વીડિયો ડાઉનલોડ કરો,व्हिडीओ डाउनलोड करा,వీడియోను డౌన్‌లోడ్ చేయండి,
deleteImage,Delete Image,चित्र डिलीट करें,ચિત્ર ડિલીટ કરો,इमेज डिलीट करा,చిత్రాన్ని తొలగించండి,
allMedia,All Media,सभी मीडिया,તમામ મીડિયા,संपूर्ण  मीडिया,మొత్తం మీడియా,
botInfoDesc,"All your latest and urgent annoucements are now in one place. Team Kluster provides latest updates on exams, syllabus, results, etc.","आपकी सभी नवीनतम और अत्यावश्यक घोषणाएं अब एक ही स्थान पर हैं। टीम क्लस्टर परीक्षा, पाठ्यक्रम, परिणाम आदि पर नवीनतम अपडेट प्रदान करता है।","તમારી બધી નવીનતમ અને તાકીદની ઘોષણાઓ હવે એક જ જગ્યાએ છે. Team Kluster પરીક્ષાઓ, અભ્યાસક્રમ, પરિણામો વગેરે પર નવીનતમ અપડેટ્સ પ્રદાન કરે છે.","सर्व नवीनतम आणि तातडीच्या सूचना आता तुम्हाला एकाच ठिकाणाहून मिळणार आहेत. टीम क्लस्टर हे परीक्षा, अभ्यासक्रम, निकाल इ. संबंधीचे नवीनतम अपडेट्स प्रदान करते.","కొత్త మరియు అత్యవసర ప్రకటనలన్నీ ఇప్పుడు ఒకే చోట ఉన్నాయి. టీమ్ క్లస్టర్ పరీక్షలు, సిలబస్, ఫలితాలు మొదలైన వాటిపై కొత్త అప్‌డేట్‌లను అందిస్తుంది.",
qrCodeButton,View QR Code,QR कोड देखें,QR કોડ જુઓ,QR कोड पहा.,QR కోడ్‌ని వీక్షించండి,
shareButton,Share,साझा करें,શેર કરો,शेअर करा.,షేర్ చేయండి,
shareDesc,Share and help your friends join the cool tribe,साझा करें और अपने दोस्तों को कूल गैंग में शामिल होने में मदद करें,શેર કરો અને તમારા મિત્રોને કૂલ ગેંગમાં જોડાવા માટે મદદ કરો,शेअर करा आणि तुमच्या मित्रांना मस्त गटामध्ये सहभागी होण्यास मदत करा,షేర్ చేయండి మరియు మీ స్నేహితులకు కూల్ ట్రైబ్ లో చేరడానికి సహాయం చేయండి,
rateText,Rate This Bot,इस Bot को रेट करें,આ Bot ને રેટ કરો,या Bot ला रेटिंग द्या.,ఈ Bot ను రేట్ చేయండి,
shareNudge,Share your experience to help others,दूसरों की मदद करने के लिए अपना अनुभव साझा करें,બીજાઓને મદદ કરવા માટે તમારો અનુભવ શેર કરો,इतरांना मदत व्हावी यासाठी तुमचा अनुभव शेअर करा.,ఇతరులకు సహాయం చేయడానికి మీ అనుభవాన్ని పంచుకోండి,
emptyScreenPlaceholder,Tap on **Discover** to explore and add new bots to your chat screen,अपनी चैट स्क्रीन में नए bots को एक्सप्लोर करने और जोड़ने के लिए **डिस्कवर** पर टैप करें,તમારી ચેટ સ્ક્રીન પર નવા બોટ્સને એક્સપ્લોર કરવા અને ઉમેરવા માટે **Discover** પર ટેપ કરો,नवीन बॉट्स बद्दल जाणून घेण्यासाठी आणि त्यांना जोडण्यासाठी तुमच्या चॅट स्क्रीनवरील **Discover** या बटणावर वर टॅप करा,మీ చాట్ స్క్రీన్‌ లో కొత్త bot లను అన్వేషించడానికి మరియు జోడించడానికి **Discover**పై ట్యాప్ చేయండి.,
actionBannerTextOnHeaderMenu,Add SwiftChat to your homepage.,अपने होमपेज पर SwiftChat जोड़ें।,તમારા હોમપેજમાં SwiftChat ઉમેરો.,तुमच्या होमपेजवर SwiftChat जोडा.,మీ హోమ్‌పేజీకి SwiftChatని జోడించండి.,
settings,Settings,सेटिंग्स,સેટિંગ્સ,सेटिंग्स,సెట్టింగ్‌లు,
paymentMenu,Payment Methods,भुगतान की विधि,ચૂકવણી પદ્ધતિઓ,देय पद्धती,చెల్లించే విధానాలు,
payments,Payments,भुगतान,ચૂકવણીઓ,देय,చెల్లింపులు,
paymentsScreenHeaderTitle,Payment Methods,भुगतान की विधि,ચૂકવણી પદ્ધતિઓ,देय पद्धती,చెల్లించే విధానాలు,
savedPaymentsMethod,Saved payment methods,सहेजे गए भुगतान की विधि,સેવ કરેલી ચૂકવણી પદ્ધતિઓ,सेव्ह केलेली देय पद्धती,సేవ్ చేయబడిన చెల్లించే విధానాలు,
savedPaymentsText,Add a payment method to enjoy lightning fast payments.,अत्यधिक जल्दी भुगतान का आनंद लेने के लिए भुगतान विधि जोड़ें।,ઝડપથી ચૂકવણીનો આનંદ માણવા માટે ચૂકવણી પદ્ધતિ ઉમેરો.,अत्यंत जलद देयाचा आनंद घेण्यासाठी देय पद्धती जोडा.,అతి వేగవంతమైన చెల్లింపులను ఆస్వాదించడానికి చెల్లించే విధానాన్ని జోడించండి.,
addUpiText,Add UPI ID,UPI ID जोड़ें,UPI ID ઉમેરો,UPI ID जोडा.,UPI IDని జోడించండి,
ratingDialogTitle,Rate the Bot,Bot को रेट करें,Bot ને રેટ કરો,Bot ला रेटिंग द्या.,Bot ను రేట్ చేయండి,
ratingDialogDesc,Please rate the bot so we can help you learn better,कृपया bot को रेट करें ताकि हम आपकी बेहतर सीखने में सहायता कर सकें,કૃપા કરીને botને રેટ કરો જેથી અમે તમને વધુ સારી રીતે શીખવામાં મદદ કરી શકીએ,कृपया bot ला रेटिंग द्या जेणेकरून तुम्हाला चांगले शिक्षण मिळण्यात आम्ही मदत करू.,"దయచేసి bot ను రేట్ చేయండి, తద్వారా మీరు బాగా నేర్చుకోవడానికి మేము సహాయం చేస్తాము",
qrCodeDialogSubtitle,QR Code,QR कोड,QR કોડ,QR कोड,QR కోడ్,
